iter	Passed	Remaining
675	776	371
676	778	371
677	779	370
678	780	368
679	781	367
680	782	366
681	783	365
682	784	364
683	785	362
684	786	361
685	787	360
686	788	359
687	788	357
688	789	356
689	790	355
690	792	354
691	793	353
692	794	351
693	795	350
694	796	349
695	797	348
696	798	346
697	799	345
698	800	344
699	802	343
700	803	342
701	804	341
702	805	340
703	806	338
704	806	337
705	807	336
706	808	335
707	809	333
708	810	332
709	811	331
710	812	330
711	814	329
712	815	328
713	817	327
714	817	326
715	818	324
716	819	323
717	820	322
718	821	321
719	822	319
720	823	318
721	824	317
722	825	316
723	826	314
724	827	313
725	828	312
726	829	311
727	830	310
728	831	309
729	832	307
730	833	306
731	834	305
732	835	304
733	836	302
734	837	301
735	837	300
736	838	299
737	839	298
738	840	296
739	841	295
740	842	294
741	843	293
742	844	292
743	846	291
744	846	289
745	847	288
746	848	287
747	849	286
748	850	285
749	851	283
750	852	282
751	853	281
752	854	280
753	855	278
754	855	277
755	858	276
756	859	276
757	861	274
758	862	273
759	862	272
760	863	271
761	864	270
762	865	268
763	866	267
764	867	266
765	867	265
766	868	263
767	869	262
768	870	261
769	871	260
770	872	259
771	873	258
772	875	256
773	875	255
774	880	255
775	883	254
776	884	253
777	884	252
778	885	251
779	886	250
780	887	248
781	888	247
782	890	246
783	891	245
784	892	244
785	892	243
786	894	241
787	894	240
788	895	239
789	896	238
790	897	237
791	898	235
792	899	234
793	900	233
794	901	232
795	902	231
796	903	230
797	904	228
798	904	227
799	905	226
800	906	225
801	907	223
802	908	222
803	909	221
804	910	220
805	911	219
806	912	218
807	913	217
808	914	215
809	915	214
810	915	213
811	916	212
812	918	211
813	919	210
814	920	208
815	921	207
816	922	206
817	922	205
818	923	204
819	924	202
820	925	201
821	926	200
822	927	199
823	928	198
824	929	197
825	930	195
826	931	194
827	932	193
828	933	192
829	933	191
830	934	190
831	935	188
832	936	187
833	937	186
834	938	185
835	939	184
836	940	183
837	941	182
838	942	180
839	943	179
840	944	178
841	945	177
842	945	176
843	946	175
844	948	173
845	949	172
846	949	171
847	950	170
848	951	169
849	952	168
850	953	166
851	954	165
852	955	164
853	956	163
854	956	162
855	957	161
856	958	159
857	959	158
858	959	157
859	960	156
860	961	155
861	963	154
862	964	153
863	965	151
864	965	150
865	966	149
866	967	148
867	968	147
868	969	146
869	969	144
870	970	143
871	971	142
872	972	141
873	973	140
874	973	139
875	974	137
876	975	136
877	976	135
878	977	134
879	978	133
880	979	132
881	980	131
882	981	130
883	982	128
884	983	127
885	984	126
886	985	125
887	986	124
888	987	123
889	988	122
890	990	121
891	993	120
892	994	119
893	996	118
894	997	116
895	998	115
896	999	114
897	1000	113
898	1001	112
899	1002	111
900	1003	110
901	1004	109
902	1007	108
903	1008	107
904	1010	106
905	1011	104
906	1013	103
907	1014	102
908	1015	101
909	1016	100
910	1016	99
911	1017	98
912	1018	97
913	1019	95
